Solvent,Inchikey,Smiles,canonical_smiles,protonation_state,n_F,n_CF3,n_CF2,fluorination_ratio,mw,dipole_moment_debye,gibbs_free_energy_Eh,enthalpy_Eh,homo_lumo_gap_alpha_Eh,homo_lumo_gap_beta_Eh,homo_lumo_gap_eV,oxidation_potential_V_vs_SHE,reduction_potential_V_vs_SHE,logKow,logKaw,is_charged_logp_table,headgroup,n_CF,is_open_shell,has_imaginary
DMSO,AGYUUIIFGQATIP-UHFFFAOYSA-M,[H][C](C(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])[CH]C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,neutral,9,1,3,0.9,276.054,14.725007483,-1278.4998053790132,-1278.44083807612,0.37322999999999995,0.315666,,,,,,,,0,True,False
DMSO,AGYUUIIFGQATIP-UHFFFAOYSA-N,[H]OC(=O)[C]([H])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C(O)[CH]C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,neutral,9,1,3,0.9,277.06199999999995,3.884830494,-1278.9542453692404,-1278.8951472336769,0.436629,0.342361,,,,,,,,0,True,False
DMSO,AHDZOKFUHBHXLV-UHFFFAOYSA-N,[H]OC([H])([H])C([H])([H])C(F)(F)[C](F)F,OCCC(F)(F)[C](F)F,neutral,4,0,2,0.5,145.07500000000002,4.509146105,-629.9875269801548,-629.942290684022,0.409976,0.393107,,,,,,,,0,True,False
DMSO,AHHMTOLECZNMJJ-UHFFFAOYSA-N,[H]C([H])([H])OC(=O)C([H])([H])C([H])([H])C(F)(F)[C](F)F,COC(=O)CCC(F)(F)[C](F)F,neutral,4,0,2,0.36363636363636365,187.112,3.013189548,-782.6332286175291,-782.5802726136737,0.40798500000000004,0.385804,,,,,,,,0,True,False
DMSO,AHXMYNUGTASDBY-UHFFFAOYSA-M,O=C([O-])C(F)(F)[C](F)C(F)(F)C(F)(F)OC(F)(F)F,O=C([O-])C(F)(F)[C](F)C(F)(F)C(F)(F)OC(F)(F)F,neutral,10,1,3,1.0,310.04299999999995,14.587546068,-1452.9994144015104,-1452.9364912404048,0.390493,0.325792,,,,,,,,1,True,False
DMSO,AHXMYNUGTASDBY-UHFFFAOYSA-N,[H]OC(=O)C(F)(F)[C](F)C(F)(F)C(F)(F)OC(F)(F)F,O=C(O)C(F)(F)[C](F)C(F)(F)C(F)(F)OC(F)(F)F,neutral,10,1,3,1.0,311.05099999999993,2.402741574,-1453.4372456301087,-1453.3739568160984,0.418951,0.38351799999999997,,,,,,,,1,True,False
DMSO,AHZLHMQQULHLRL-UHFFFAOYSA-N,O=[C]C(F)(F)C(F)(F)C(F)(F)F,O=[C]C(F)(F)C(F)(F)C(F)(F)F,neutral,7,1,2,1.0,197.02899999999997,0.498373851,-926.5797486879226,-926.530726114078,0.36559800000000003,0.456056,,,,,,,,0,True,False
DMSO,AHZTWWVSJDDTCJ-UHFFFAOYSA-N,O=[P]([O-])C(F)(F)C(F)(F)F,O=[P]([O-])C(F)(F)C(F)(F)F,neutral,5,1,1,1.0,181.98399999999998,6.903276552,-1067.462113504654,-1067.4159395539475,0.343281,0.370765,,,,,,,,0,True,False
DMSO,AIFJFHMEJHSQGN-UHFFFAOYSA-N,[H]C([H])([H])OC(=O)C([H])([H])C([H])([H])C(F)(F)C(F)(F)[C](F)F,COC(=O)CCC(F)(F)C(F)(F)[C](F)F,neutral,6,0,3,0.46153846153846156,237.11899999999997,3.158556131,-1020.4456994676556,-1020.3869046799382,0.41111800000000004,0.37989,,,,,,,,0,True,True
DMSO,AIGKDKIIXFHPNA-UHFFFAOYSA-M,O=S(=O)([O-])C(F)(OC(F)(F)C(F)(F)F)[C](F)F,O=S(=O)([O-])C(F)(OC(F)(F)C(F)(F)F)[C](F)F,neutral,8,1,2,1.0,296.09099999999995,11.512689729,-1650.4476994214276,-1650.388262321933,0.396248,0.362828,,,,,,,,1,True,False
DMSO,AIGKDKIIXFHPNA-UHFFFAOYSA-N,[H]OS(=O)(=O)C(F)(OC(F)(F)C(F)(F)F)[C](F)F,O=S(=O)(O)C(F)(OC(F)(F)C(F)(F)F)[C](F)F,neutral,8,1,2,1.0,297.09899999999993,3.930124574,-1650.8520805010403,-1650.7917963034993,0.408253,0.419563,,,,,,,,1,True,False
DMSO,AIILURIBDIQKST-UHFFFAOYSA-N,O=[S](=O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,O=[S](=O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,neutral,9,1,3,1.0,299.0899999999999,2.432602308,-1674.9057550327077,-1674.8461343833417,0.429805,0.360683,,,,,,,,0,True,False
DMSO,AIJQTFSMFZDFQB-UHFFFAOYSA-M,O=S(=O)([O-])C(F)(F)[C](F)OC(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)[C](F)OC(F)(F)C(F)(F)C(F)(F)F,neutral,10,1,3,1.0,346.09799999999996,12.744075102,-1888.2624612023928,-1888.1975473450068,0.407598,0.345441,,,,,,,,1,True,False
DMSO,AIJQTFSMFZDFQB-UHFFFAOYSA-N,[H]OS(=O)(=O)C(F)(F)[C](F)OC(F)(F)C(F)(F)C(F)(F)F,O=S(=O)(O)C(F)(F)[C](F)OC(F)(F)C(F)(F)C(F)(F)F,neutral,10,1,3,1.0,347.10599999999994,3.564361643,-1888.670523390325,-1888.6046114630449,0.420425,0.41985300000000003,,,,,,,,1,True,False
DMSO,AIXUMWQHRGTEOP-UHFFFAOYSA-M,[H]C(O[C](F)C(F)(F)C(F)(F)F)(C(=O)[O-])C(F)(F)F,O=C([O-])C(O[C](F)C(F)(F)C(F)(F)F)C(F)(F)F,neutral,9,2,1,0.9,292.05299999999994,10.477851509,-1353.7407261255726,-1353.679632390862,0.359017,0.35601000000000005,,,,,,,,1,True,False
DMSO,AJHAIFGYJJDADZ-UHFFFAOYSA-N,[H][C]=C([H])C(F)(F)F,[CH]=CC(F)(F)F,neutral,3,1,0,0.6,95.043,2.180169321,-414.9849816060412,-414.94846177431486,0.42027200000000003,0.393335,,,,,,,,0,True,False
DMSO,AKFNVAIJIOUJBF-UHFFFAOYSA-N,[O-]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[O-]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,neutral,13,1,5,1.0,335.03899999999993,13.552922959,-1602.1503719720624,-1602.0872513873398,,,11.459258975910465,,,-0.443677715728032,,True,Carboxylate,0,False,False
DMSO,AKMQCJHKIDFWMO-UHFFFAOYSA-N,[H]N([H])S(=O)(=O)[C](F)C(F)(F)C(F)(F)C(F)(F)F,NS(=O)(=O)[C](F)C(F)(F)C(F)(F)C(F)(F)F,neutral,8,1,2,1.0,280.11599999999993,5.371333037,-1555.748094204128,-1555.6895731765076,0.417092,0.386699,,,,,,,,1,True,False
DMSO,AKXLLBRAZAUFSS-UHFFFAOYSA-N,[H]O[P](=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=[P](O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,neutral,9,1,3,1.0,299.00499999999994,4.078819528,-1618.7772272751497,-1618.7163604576244,0.420117,0.384928,,,,,,,,0,True,True
DMSO,AKZIMDFFDPISED-UHFFFAOYSA-N,[H]C([H])([S](=O)=O)C([H])([H])C(F)(F)F,O=[S](=O)CCC(F)(F)F,neutral,3,1,0,0.42857142857142855,161.124,2.51958231,-964.8580833541891,-964.8127344946396,0.411256,0.372934,,,,,,,,0,True,False
DMSO,ALAKNMRUVWTNPD-UHFFFAOYSA-N,F[C](OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,F[C](OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,neutral,11,2,2,1.0,285.0319999999999,0.526825025,-1364.1179061664957,-1364.0591208468136,0.434245,0.45799100000000004,,,,,,,,1,True,False
DMSO,ALAUHCPNKFDPPK-UHFFFAOYSA-L,O=P([O-])([O-])OC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,O=P([O-])([O-])OC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,neutral,10,1,3,1.0,345.00499999999994,28.374169568,-1831.6927862604443,-1831.62731259,0.351392,0.30678500000000003,,,,,,,,1,True,True
DMSO,ALAUHCPNKFDPPK-UHFFFAOYSA-M,[H]OP(=O)([O-])OC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,O=P([O-])(O)OC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,neutral,10,1,3,1.0,346.0129999999999,12.676846543,-1832.170593962251,-1832.1043302898047,0.388759,0.357002,,,,,,,,1,True,False
DMSO,ALAUHCPNKFDPPK-UHFFFAOYSA-N,[H]OP(=O)(O[H])OC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,O=P(O)(O)OC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,neutral,10,1,3,1.0,347.02099999999996,3.959354064,-1832.5987781503084,-1832.5313988325324,0.419402,0.395059,,,,,,,,1,True,True
DMSO,ALHGGKPMAYOYAY-UHFFFAOYSA-M,[H]C([H])([C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)[O-],O=C([O-])C[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,neutral,10,1,3,0.8333333333333334,308.071,15.531979185,-1417.0476079220905,-1416.9842720431695,0.347154,0.329273,,,,,,,,1,True,False
DMSO,ALHGGKPMAYOYAY-UHFFFAOYSA-N,[H]OC(=O)C([H])([H])[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C(O)C[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,neutral,10,1,3,0.8333333333333334,309.07899999999995,4.981008515,-1417.505135329665,-1417.4412160911888,0.387501,0.39442099999999997,,,,,,,,1,True,False
DMSO,ALHKSKZUBZKTPT-UHFFFAOYSA-N,O=[C]C(F)(F)OC(F)(F)OC(F)(F)C(F)(F)F,O=[C]C(F)(F)OC(F)(F)OC(F)(F)C(F)(F)F,neutral,9,1,3,1.0,279.03399999999993,0.601028946,-1314.8717773324352,-1314.8127293111363,0.36748,0.46986,,,,,,,,0,True,False
DMSO,ALMMFRQPNOKTHH-UHFFFAOYSA-N,[H][C](C([H])=O)C(F)(F)C(F)(F)C(F)(F)F,O=C[CH]C(F)(F)C(F)(F)C(F)(F)F,neutral,7,1,2,0.7777777777777778,211.05599999999998,1.066841438,-965.8865936314912,-965.8347867213312,0.44374600000000003,0.311357,,,,,,,,0,True,False
DMSO,ALZFMQGRDSUTND-UHFFFAOYSA-N,Fc1[c]c(F)c(F)c(C(F)(F)C(F)(F)C(F)(F)F)c1F,Fc1[c]c(F)c(F)c(C(F)(F)C(F)(F)C(F)(F)F)c1F,neutral,11,1,2,1.0,317.07699999999994,1.98015414,-1441.2325567816897,-1441.1713299725857,0.37845399999999996,0.28813500000000003,,,,,,,,4,True,False
DMSO,AMLCYEWMLUURCM-UHFFFAOYSA-N,O=[C]C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,O=[C]C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,neutral,9,2,1,1.0,247.03599999999994,0.73430693,-1164.3961697321108,-1164.3415663838928,0.361208,0.46808299999999997,,,,,,,,1,True,False
DMSO,AMRYALWPQQRDLM-UHFFFAOYSA-M,[H]C(F)(OP([O])(=O)[O-])C(F)(F)F,[O]P(=O)([O-])OC(F)C(F)(F)F,neutral,4,1,0,0.8,195.99199999999996,8.900566841,-1118.7191727465315,-1118.67097159707,0.441439,0.30005,,,,,,,,1,True,False
DMSO,ANJQZZHFPDDWQF-UHFFFAOYSA-M,[O]C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(=O)[O-],[O]C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(=O)[O-],neutral,8,0,4,1.0,276.03499999999997,15.321431672,-1290.4005890477235,-1290.3421792971517,0.401686,0.20823,,,,,,,,0,True,False
DMSO,ANJQZZHFPDDWQF-UHFFFAOYSA-N,[H]OC(=O)C(F)(F)C(F)(F)OC(F)(F)C([O])(F)F,[O]C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(=O)O,neutral,8,0,4,1.0,277.04299999999995,2.758657368,-1290.83777802175,-1290.7790108902225,0.465549,0.28647,,,,,,,,0,True,False
DMSO,ANLDUWCSDDLIAE-UHFFFAOYSA-M,[H]C([H])([C](F)C(F)(F)F)C([H])([H])S(=O)(=O)[O-],O=S(=O)([O-])CC[C](F)C(F)(F)F,neutral,4,1,0,0.5,208.132,13.328053374,-1178.1915001470802,-1178.1402723651954,0.382153,0.335383,,,,,,,,1,True,False
DMSO,ANLDUWCSDDLIAE-UHFFFAOYSA-N,[H]OS(=O)(=O)C([H])([H])C([H])([H])[C](F)C(F)(F)F,O=S(=O)(O)CC[C](F)C(F)(F)F,neutral,4,1,0,0.5,209.13999999999996,7.026486049,-1178.6213522715352,-1178.5696394574472,0.383396,0.425076,,,,,,,,1,True,False
DMSO,ANUODYDIJIDWPY-UHFFFAOYSA-N,[H]C(=O)C([H])([H])C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,O=CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,neutral,10,0,5,0.7692307692307693,293.0799999999999,2.005403376,-1342.2265049422012,-1342.1641143007485,0.41491700000000004,0.357661,,,,,,,,0,True,False
